ToGo,Down,OffenseTeam,DefenseTeam,YardLine,Time,PlayType
10,1,30,22,53,3523,5
3,4,26,28,84,939,5
10,1,26,28,89,924,0
10,2,26,28,89,923,5
6,3,26,28,93,918,5
3,1,26,28,97,913,5
1,2,30,13,67,454,8
2,3,30,13,66,409,5
10,1,30,13,72,369,8
10,1,10,2,70,3575,5
1,2,10,2,79,3545,8
5,3,28,20,78,1800,5
10,1,5,4,55,248,8
10,1,5,4,66,211,8
6,1,15,18,94,1383,8
5,3,28,25,82,3350,5
9,2,28,25,78,3387,5
10,1,28,25,77,3431,8
10,1,28,25,66,3472,8
1,4,28,25,64,3512,8
9,3,28,25,56,3555,5
10,2,28,25,55,3594,8
10,1,28,25,55,3600,5
10,1,28,25,52,2044,5
3,3,7,16,51,1630,8
10,4,15,11,67,2705,5
10,3,15,11,67,2708,5
10,2,15,11,67,2714,5
10,1,15,11,67,2719,5
2,3,15,11,58,2724,5
10,2,15,11,100,2744,5
10,1,15,11,55,2757,5
6,3,11,15,80,2820,9
9,2,11,15,77,2843,8
10,1,11,15,76,2888,8
3,2,11,15,66,2896,5
10,1,11,15,59,2901,8
1,3,11,15,57,2907,8
10,1,15,11,51,3020,5
14,4,11,15,78,3067,2
10,3,11,15,82,3107,9
10,2,11,15,82,3113,5
10,1,11,15,82,3116,5
10,2,11,15,67,3157,5
10,1,11,15,67,3162,5
10,2,11,15,57,3205,8
10,1,11,15,57,3210,5
2,3,15,11,98,3595,5
2,2,15,11,98,3600,5
1,1,15,11,99,1812,8
10,1,15,11,86,1847,8
4,2,15,11,78,1882,8
10,1,11,15,86,1594,8
1,2,11,15,82,1638,8
10,1,11,15,73,1678,5
16,4,15,11,84,1,2
9,3,15,11,91,43,9
14,2,15,11,86,82,8
5,1,15,11,95,128,9
10,1,15,11,69,170,8
11,3,15,11,53,210,5
10,2,15,11,54,251,5
10,1,15,11,54,258,5
1,2,11,15,99,437,5
7,1,11,15,93,459,8
4,3,11,15,86,500,5
10,2,11,15,80,543,8
10,1,11,15,80,585,5
5,2,11,15,71,623,5
10,1,11,15,66,651,8
2,3,11,15,64,689,8
7,2,11,15,59,734,8
10,1,11,15,56,779,8
12,4,25,28,70,2833,5
9,3,25,28,73,2874,9
9,2,25,28,73,2881,5
4,2,25,28,78,2881,4
10,1,25,28,72,2915,5
8,2,28,25,54,3027,5
10,1,28,25,52,3032,4
2,2,25,28,98,3039,5
2,1,25,28,98,3042,5
13,2,25,28,87,3048,5
8,2,25,28,92,3048,4
8,1,25,28,92,3055,5
3,2,25,28,87,3089,5
10,1,25,28,80,3121,5
10,1,25,28,61,3160,5
6,2,25,28,55,3188,5
10,1,25,28,51,3218,10
1,4,25,28,100,3237,8
1,2,25,28,99,2213,8
2,1,25,28,98,2247,8
12,3,25,28,86,2281,5
12,2,25,28,86,2285,5
10,1,25,28,88,2342,8
5,2,25,28,63,2367,5
10,1,25,28,58,2412,5
10,1,28,25,88,2508,8
3,3,28,25,55,2549,5
2,2,28,25,56,2592,8
4,4,12,9,80,1678,2
6,3,12,9,78,1718,10
16,2,12,9,68,1742,8
1,4,12,9,89,614,2
1,3,12,9,89,619,5
1,2,12,9,89,641,8
5,2,12,9,85,665,8
10,1,12,9,80,694,5
10,1,12,9,53,734,5
2,4,19,31,98,2820,8
5,3,19,31,95,2858,5
7,2,19,31,93,2902,8
8,1,19,31,92,2940,8
1,4,19,31,86,2977,8
4,3,19,31,83,3017,8
5,2,19,31,82,3052,8
10,1,19,31,77,3096,8
1,3,19,31,62,3135,8
8,2,19,31,55,3173,8
10,1,19,31,53,3211,8
5,4,19,31,60,3390,6
5,3,19,31,60,3394,5
7,2,19,31,58,3430,8
10,1,19,31,55,3468,8
3,2,19,31,100,3512,5
8,4,31,19,65,3560,2
10,3,31,19,63,3600,5
10,2,31,19,63,1845,8
10,1,31,19,63,1853,5
2,2,28,25,98,941,8
5,1,28,25,95,945,8
5,2,28,25,81,953,8
10,2,28,25,76,957,5
10,1,28,25,76,961,5
10,1,28,25,63,990,5
1,2,28,25,60,1020,8
10,1,28,25,51,1060,8
2,3,28,25,98,1335,5
4,3,28,25,96,1339,5
4,2,28,25,96,1343,5
10,1,28,25,90,1385,10
10,1,28,25,58,1429,5
13,4,25,28,79,125,2
21,3,25,28,71,164,5
6,2,25,28,86,213,9
10,1,25,28,82,251,5
10,1,25,28,71,290,5
5,3,25,28,65,329,5
8,2,25,28,62,373,5
10,1,25,28,60,412,8
10,1,25,28,100,448,5
7,4,25,28,92,594,2
7,3,25,28,92,598,5
10,2,25,28,89,639,8
7,2,16,7,79,3054,5
10,1,16,7,76,3092,8
8,1,7,16,92,3236,5
10,1,7,16,79,3280,8
1,3,7,16,73,3321,8
6,2,7,16,68,3361,5
10,1,7,16,64,3402,5
3,2,7,16,57,3423,8
10,1,7,16,100,3468,5
7,2,16,7,93,1845,5
10,1,16,7,90,1886,8
20,2,16,7,60,1928,5
15,2,16,7,65,1928,4
15,1,16,7,65,1933,5
10,1,16,7,70,1959,4
6,4,7,16,94,2102,2
6,3,7,16,94,2106,5
6,2,7,16,94,2111,5
9,1,7,16,91,2151,8
15,1,7,16,69,2194,5
10,1,7,16,74,2207,5
1,2,7,16,70,2247,8
10,1,7,16,61,2288,5
